,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Pseudomonas sp. OIL-1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,0,5,5,0,0,0,0,5,0,5,0,5,5,0,0,0,5,5
Pseudomonas sp. ADAK13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,5,0,5,5,0,0,0,0,0,5,0,0,0,0,5,5
Pseudomonas sp. URMO17WK12:I11,0,0,0,5,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,5,0,0,5,0,5,0,0,0,5
Pseudomonas sp. p1(2021b),0,5,0,0,0,5,0,10,5,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0
Lysobacter sp. H21R4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0,10,0,0,0,5
Halomonas subglaciescola,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,5,5,0,0,0,0,0,5,5,5,0,0,0,5,0
Pseudoalteromonas rubra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,5,0,5,5,5,5,10,0,5,0,0,0,0,5,0
Microbulbifer aggregans,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,5,5,0,5,0,5,0,0,0,0,5,0
Simiduia sp. 21SJ11W-1,0,0,5,0,0,0,0,10,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,5,0
Desulfovibrio subterraneus,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0,5,0,0,0,0,0,5
Desulfovibrio sp. G11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,15,0,0,0,0,5,10,5,0,0,0,0,5,0,5,0,0,0,0,5,0
Chloroherpeton thalassium,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,5,0,0,0,5,5,0,0,0,0,0,0,0
Chlorobium limicola,0,0,0,0,0,5,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,5,5
Hymenobacter swuensis,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,10,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,5
Spirosoma rhododendri,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,0,5,0,0,5,5,0,5,0,0,5
Spirosoma sp. KCTC 72228,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0
Alistipes sp. dk3624,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,5,5,5,5,5,0,0,0,5,0
Paenibacillus amylolyticus,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,10,0,5,0,10,5,5,0,0
Sulfitobacter sp. S190,0,0,0,5,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,10,0,0,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,5
Halopseudomonas sp. RR6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,5,0,0,0,0,10,0,5,5,0,0,5,5,0
Pseudomonas sp. B21-051,0,5,0,0,0,5,0,10,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,5
Pseudomonas phragmitis,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,5,10,0,0,0,5,5,5,0,5,5,0,0,0,0,0
Lysobacter gummosus,0,0,0,0,0,0,0,10,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,10,0,0,5,5
Synechococcus sp. LA31,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,10,10
Brevibacillus choshinensis,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,0,0,5,0,0,0,0,10,0
Brevibacterium siliguriense,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,5
Microbacterium sp. SGAir0570,0,5,5,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schaalia radingae,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,5,0
Uruburuella suis,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,5,0,10,0,0,0,0,0,0
Thalassobius gelatinovorus,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,5,5,5,0,0,0,0,10,0
Croceibacterium atlanticum,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,10,0,5,0,0,0,0,0,0,10,5,0,0,5,0
Rhizobium sp. SSM4.3,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,10,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,5,0,0,0
Pseudomonas alkylphenolica,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,5,5,0,0,5,0,0,10,0,0,0,0,5,5
Sodalis ligni,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,5,5,5,0,10,5,0,0,0,0,0
Citrobacter freundii,0,0,0,0,0,0,0,10,10,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,10,0,0,0,0,0,0
Congregibacter litoralis,0,0,0,0,0,0,0,10,0,0,5,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,10
Thermosulfuriphilus ammonigenes,0,0,0,0,0,5,0,10,5,0,0,0,10,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0
Leptospira santarosai,0,0,0,0,0,0,0,15,5,0,5,0,10,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0
Anaerohalosphaera lusitana,0,0,10,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,5,10,0,0,0,0,5
Haliscomenobacter hydrossis,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,5,0,0,5,5,0,0,10,0,0,0,0,0,5
Larkinella insperata,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5,0,0,5,10,0,0,0,0,5,0
Mucilaginibacter sp. 14171R-50,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,10,0,0,0,0,0,5
Enterococcus saccharolyticus,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,0,5,0,5,0,5,0,0,5,5,0,0
Lactiplantibacillus plantarum,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,5,0,0,0,5,5,5,0,0,0,0,0,5,5,0,0
Brevibacillus humidisoli,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,5,0,0,5,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,5
Paenibacillus agaridevorans,0,5,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,10,0,0,0
Paenibacillus psychroresistens,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0,5,0,0,5
Neobacillus sp. SuZ13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,10,0,0,10,0,0,0,0,0,0,5,5,5,0,0,5,0,0,0,0,0,0
Megasphaera massiliensis,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,10,0,0,5
Selenomonas sp. oral taxon 920,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,5
Oxynema aestuarii,0,0,0,0,0,0,0,10,5,0,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,5
Adlercreutzia hattorii,0,0,5,5,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,5,0,0,0,0,0,5
Bifidobacterium sp. ESL0682,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,5,0,0,0,5,5,5
Microbacterium sp. RG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,10,0,0,5,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0
Plantibacter sp. PA-3-X8,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0
Pseudarthrobacter sp. NBSH8,0,5,0,0,0,10,0,0,0,0,0,5,5,0,5,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0
Arthrobacter sp. NicSoilB11,0,0,0,0,0,0,0,0,0,0,5,39,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordonia amicalis,0,10,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Gordonia hongkongensis,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0
Mycobacterium leprae,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,10,0,10,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
Corynebacterium striatum,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0
Corynebacterium gerontici,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,0,0,0,10,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0
Corynebacterium zhongnanshanii,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,5,0,5,0,0,0,5,5,5
Corynebacterium sp. SCR221107,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5,0,0,5,0,0,0,0,5,0,5,0
Corynebacterium sp. CNCTC7651,0,0,10,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,5,5,0,0,0,0,0,5
Streptomyces filamentosus,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,5,5,5,0
Streptomyces sp. NEAU-S7GS2,0,0,0,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,10,0
Streptomyces sp. Tu6071,0,5,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,5,0
Streptomyces sp. Mg1,0,5,0,0,20,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Streptomyces sp. PAMC 26508,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,5,5
Streptomyces sp. CB00271,0,20,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,5,0
Streptomyces sp. NA02536,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,5,5,0,0,0,5,0
Streptomyces malaysiensis,0,0,5,5,0,5,0,0,0,0,10,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0
Trueperella pyogenes,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,10,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,5,5,0
Mobiluncus sp. Marseille-Q7826,0,0,5,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,5,0,5,5
Brevefilum fermentans,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10,5,5,0,5,0,0,0,0,5,0,0,5,0,0,0,5,0
Thermus oshimai,0,0,5,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,5,5,0,0
Azospira sp. I09,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,5,5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5
Chromobacterium sp. Rain0013,0,0,0,0,0,5,0,10,0,0,0,0,5,0,5,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5
Massilia sp. NR 4-1,0,0,0,0,0,5,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,5,5,5,0
Advenella kashmirensis,0,0,0,0,0,0,0,10,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5
Acetobacter vaccinii,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,5,10,5,0,0,0,0,5,0
Acetobacter orientalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,5,0,5,5,0,0,5,5,0
Novacetimonas hansenii,0,5,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,5,0,0,5,0,0,0,0,0,0
Octadecabacter sp. SW4,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,5,5,5,0,0,5,0,0,0,0,5,0
Sulfitobacter sp. SK012,0,0,0,0,0,0,0,0,0,5,10,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,5,5
Leisingera sp. S132,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,10,0,0,0,0,5,0,0,0,0,5,0,5,0,5,5,0,0,0,0,0
Cereibacter azotoformans,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,5
Falsirhodobacter sp. PG104,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,5,5,5,0,0,5,5,5
Altererythrobacter epoxidivorans,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,5,0,0,0,5
Brevundimonas sp. SL130,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,10,5,0,0,0,0,0,0,0
Methylobacterium sp. XJLW,0,5,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,0,5,0
Pseudomonas zhaodongensis,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,5,10,5,5
Permianibacter aggregans,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,0,5
Pseudomonas promysalinigenes,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,10,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,0,5,0,5
Pseudomonas veronii,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,10,0,5,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,5,0
Pseudomonas moraviensis,0,0,5,0,0,0,0,0,5,0,5,0,0,0,5,0,0,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5
Pseudomonas sp. S09G 359,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,10,0,5,0,5,0,0,5,0,0,5,0,0,0,0,0,0
Pseudomonas sp. L5B5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,5,0,5,0,0,0,5,0,5
Pseudomonas umsongensis,0,0,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,5
Pseudomonas atacamensis,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5,5,5,0,5,0,0,0,0,5,5
Hafnia alvei,0,5,5,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,5
Serratia proteamaculans,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,5,5,5,0,5,0,0,5,0,0,5
Pantoea cypripedii,0,0,5,0,0,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,5,0,5,0,0,0,0,0,0
Erwinia rhapontici,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,5,0
Aquicella siphonis,0,0,0,0,0,0,0,10,5,0,5,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5
Granulosicoccus antarcticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,5,5,5,0,0,0,5,0,5,0,0,0,0,0,5
Lysobacter sp. HDW10,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,5,5,5,0,0,0,5
Methylomonas rhizoryzae,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,5
Marinobacterium aestuarii,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,5,5
Kushneria konosiri,0,10,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,5,0,0,5,0,0,0,5,0,0,0,0,5
Halomonas sp. SH5A2,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5
Microbulbifer sp. H12,25,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5
Microbulbifer celer,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,5,5,5,0,0,5,5,0
Acinetobacter sp. WCHAc010034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,5,0,0,0,0,5,0,5,0,5,5,0,0,5,0,0,0,0,5,5
Vibrio fluvialis,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,5,5,0,5,0,5,0,5,0,0,0,0,5,0
Desulfurivibrio alkaliphilus,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5,0,5,5,0,0,5,5,0,0,0,0,5,5
Desulfovibrio sp. 86,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0
Mariniblastus fucicola,0,0,5,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Melioribacter roseus,0,0,0,0,0,5,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,5,0,0,0,0,0,0
Chlorobaculum sp. MV4-Y,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,5,5,0,5,0,0,0,0,0,5
Pontibacter akesuensis,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,5,0,5,5,5,0,5,5,0,0,0,5,0
Alistipes senegalensis,0,5,0,0,0,5,0,0,10,0,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Alistipes shahii,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,5,0,5,5,0,5,0,0,0,0,5,0
Mucilaginibacter ginsenosidivorans,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,5,5,0,0,0,0,5,0
Fibrobacter succinogenes,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0
Micavibrio aeruginosavorus,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,5,5,0,5,0,5,0,0,0,0,0,0
Paenibacillus sp. PSB04,0,5,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,5,0,0,0,0,5,0,0,0,5,5
Scytonema sp. NIES-4073,0,0,0,0,0,5,0,10,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,0,0,0,0,0,5
Nostoc linckia,0,0,10,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,0,5
Plantibacter sp. M259,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,5,0,5,5,0,0,0,0,0,0,0,0,0
Streptomyces sp. M56,0,5,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,5,5,0,0,0,0,5,0,0,0,0,5,5
Burkholderia savannae,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,5,5
Nitrosomonas ureae,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,5,0,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
Novosphingobium terrae,0,0,0,0,0,5,15,0,0,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5
Pseudomonas silesiensis,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5,5,0,0,0,0,5,5
Pantoea anthophila,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,5,0,5,0,5,0,0,5,0,0,0,5,5
Arachidicoccus soli,0,0,5,0,0,0,0,15,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0
Peribacillus frigoritolerans,0,0,0,0,0,0,0,0,10,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,0,0,5,0,0,0
Clostridium scindens,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,5,0,0,0,10,5
Microbacterium binotii,0,5,0,0,0,15,0,0,0,5,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5
Leucobacter coleopterorum,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5,5,5,0,5,0,0,0,10,0,0
Corynebacterium efficiens,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,5,0,5,10,5,0
Actinomyces sp. oral taxon 171,0,0,0,0,0,5,0,0,5,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,10,0
Candidatus Planktophila lacus,0,0,5,0,0,0,15,10,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Deinococcus sp. QL22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,5,0,0,0,0,10,5
Deefgea piscis,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,10,10,0,0,0,5,0
Thalassospira marina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,5,10,0,0,0,0,5,0
Pseudomonas sp. J452,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,10,0,0,0,0,0,5,0,0,0,0,0,5,0,10,0,5,0,0,0,0
Pseudomonas sp. ABC1,0,0,0,0,0,5,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,10,0,0,0,0,0,5
Pseudomonas amygdali,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,10,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
Leminorella richardii,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,10,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,10,0,0
